Date,SPY,TQQQ,QQQ
2015-10-12,169.7854766845703,2.001359224319458,
2015-10-13,168.71543884277344,1.962175250053405,
2015-10-14,167.90663146972656,1.9538215398788448,
2015-10-15,170.48475646972656,2.04929518699646,
2015-10-16,171.25990295410156,2.074754476547241,
2015-10-19,171.3441619873047,2.1119494438171387,
2015-10-20,171.12513732910156,2.0769433975219727,
2015-10-21,170.06350708007812,2.043527603149414,
2015-10-22,172.9364776611328,2.1646595001220703,
2015-10-23,174.83221435546875,2.344665288925171,
2015-10-26,174.40252685546875,2.351627349853516,
2015-10-27,174.0654754638672,2.366943120956421,
2015-10-28,176.04539489746094,2.4218406677246094,
2015-10-29,175.94430541992188,2.4128899574279785,
2015-10-30,175.18606567382812,2.379870891571045,
2015-11-02,177.2586669921875,2.461023330688477,
2015-11-03,177.7725830078125,2.4844954013824463,
2015-11-04,177.2333221435547,2.4854888916015625,
2015-11-05,177.0564727783203,2.4636099338531494,
2015-11-06,176.96376037597656,2.471764326095581,
2015-11-09,175.31243896484375,2.3922035694122314,
2015-11-10,175.716796875,2.3752970695495605,
2015-11-11,175.0260009765625,2.3647549152374268,
2015-11-12,172.5826873779297,2.296132802963257,
2015-11-13,170.64483642578125,2.161078453063965,
2015-11-16,173.2398223876953,2.251181602478028,
2015-11-17,173.11341857910156,2.258939504623413,
2015-11-18,175.8600616455078,2.388424634933472,
2015-11-19,175.7084503173828,2.39200496673584,
2015-11-20,176.3487091064453,2.439542531967163,
2015-11-23,176.14654541015625,2.419850826263428,
2015-11-24,176.3824462890625,2.412292957305908,
2015-11-25,176.35714721679688,2.417663335800171,
2015-11-27,176.55935668945312,2.426414251327514,
2015-11-30,175.82638549804688,2.411099672317505,
2015-12-01,177.50294494628906,2.482704401016236,
2015-12-02,175.6915740966797,2.437553644180298,
2015-12-03,173.23141479492188,2.313239336013794,
2015-12-04,176.60997009277344,2.47216272354126,
2015-12-07,175.53990173339844,2.4419291019439697,
2015-12-08,174.3603973388672,2.442128896713257,
2015-12-09,173.00390625,2.3283557891845703,
2015-12-10,173.45040893554688,2.361372947692871,
2015-12-11,170.08876037597656,2.1994664669036865,
2015-12-14,170.94813537597656,2.2487952709198,
2015-12-15,172.74273681640625,2.2869839668273926,
2015-12-16,175.27027893066406,2.388026714324951,
2015-12-17,172.5994873046875,2.2885749340057373,
2015-12-18,169.52459716796875,2.1628682613372803,
2015-12-21,170.92303466796875,2.227113962173462,
2015-12-22,172.47410583496094,2.2692813873291016,
2015-12-23,174.60984802246094,2.321195125579834,
2015-12-24,174.32164001464844,2.3164212703704834,
2015-12-28,173.92330932617188,2.315824747085572,
2015-12-29,175.77947998046875,2.4214425086975098,
2015-12-30,174.53359985351562,2.359582901000977,
2015-12-31,172.78762817382812,2.272066593170166,
2016-01-04,170.37216186523438,2.1332321166992188,
2016-01-05,170.6603240966797,2.1141374111175537,
2016-01-06,168.50758361816406,2.0574498176574707,
2016-01-07,164.46481323242188,1.8617300987243648,
2016-01-08,162.6595458984375,1.8177719116210933,
2016-01-11,162.82057189941406,1.83368456363678,
2016-01-12,164.13430786132812,1.8955436944961548,
2016-01-13,160.04066467285156,1.6972368955612185,
2016-01-14,162.6680145263672,1.807031273841858,
2016-01-15,159.1762237548828,1.640947699546814,
2016-01-19,159.38807678222656,1.6479097604751587,
2016-01-20,157.3455047607422,1.632991909980774,
2016-01-21,158.22694396972656,1.6389590501785278,
2016-01-22,161.47299194335938,1.7801796197891235,
2016-01-25,159.0321502685547,1.7000219821929932,
2016-01-26,161.2018280029297,1.7485538721084597,
2016-01-27,159.44741821289062,1.6184715032577517,
2016-01-28,160.27796936035156,1.6823192834854126,
2016-01-29,164.1851348876953,1.7919150590896606,
2016-02-01,164.12576293945312,1.8020590543746948,
2016-02-02,161.16795349121094,1.6876897811889648,
2016-02-03,162.1341094970703,1.6638213396072388,
2016-02-04,162.3883514404297,1.660838007926941,
2016-02-05,159.29486083984375,1.4899805784225464,
2016-02-08,157.1505584716797,1.4219558238983154,
2016-02-09,157.15902709960938,1.4054462909698486,
2016-02-10,157.0234375,1.422154426574707,
2016-02-11,154.98086547851562,1.4187737703323364,
2016-02-12,158.17611694335938,1.4792399406433103,
2016-02-16,160.84585571289062,1.5776968002319336,
2016-02-17,163.47325134277344,1.6866956949234009,
2016-02-18,162.80361938476562,1.629411697387695,
2016-02-19,162.7273712158203,1.646318435668945,
2016-02-22,165.08348083496094,1.7240889072418213,
2016-02-23,162.99855041503906,1.6381628513336182,
2016-02-24,163.74440002441406,1.6868942975997925,
2016-02-25,165.72767639160156,1.7334375381469729,
2016-02-26,165.34628295898438,1.7294594049453735,
2016-02-29,164.04954528808594,1.6837122440338137,
2016-03-01,167.90585327148438,1.8448234796524048,
2016-03-02,168.66014099121094,1.846812129020691,
2016-03-03,169.32122802734375,1.836469650268555,
2016-03-04,169.87210083007812,1.8396518230438232,
2016-03-07,170.00770568847656,1.8054405450820925,
2016-03-08,168.151611328125,1.7577040195465088,
2016-03-09,168.9822540283203,1.79131817817688,
2016-03-10,169.1177978515625,1.7845557928085327,
2016-03-11,171.84686279296875,1.877045750617981,
2016-03-14,171.6265411376953,1.8879849910736084,
2016-03-15,171.3468780517578,1.886791706085205,
2016-03-16,172.33847045898438,1.9349266290664675,
2016-03-17,173.4318084716797,1.9293564558029173,
2016-03-18,174.1133270263672,1.940495491027832,
2016-03-21,174.36038208007812,1.9635685682296755,
